name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_fresh,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
Gufic BioScience,GUFICBIO,/company/GUFICBIO/,419.00,4201.83,Jun 2026,Mar 2026,True,72.5,72.5,0.0,0.42,0.47,0.05,3.83,3.67,-0.16,,,,23.23,23.36,0.13,29223.0,29753.0,530.0
Guj Inds. Power,GIPCL,/company/GIPCL/,185.35,2876.97,Jun 2026,Mar 2026,True,56.57,56.57,0.0,2.74,2.88,0.14,5.07,4.99,-0.08,7.45,1.44,-6.01,28.17,34.11,5.94,91261.0,90955.0,-306.0
Guj. Ambuja Exp,GAEL,/company/GAEL/consolidated/,164.55,7547.40,Jun 2026,Mar 2026,True,63.84,63.84,0.0,2.18,3.02,0.84,0.82,0.65,-0.17,,,,33.14,32.5,-0.64,114043.0,107147.0,-6896.0
Guj. Themis Bio.,GUJTHEM,/company/GUJTHEM/,418.90,5452.08,Aug 2026,Jun 2026,True,70.87,59.33,-11.54,1.76,4.93,3.17,1.17,13.79,12.62,,,,26.18,21.95,-4.23,27010.0,26899.0,-111.0
Guj.Nat.Resour.,GNRL,/company/GNRL/consolidated/,99.20,1521.73,Jun 2026,Mar 2026,True,2.31,1.93,-0.38,0.25,1.05,0.8,,,,,,,97.43,97.01,-0.42,15431.0,16338.0,907.0
Gujarat Alkalies,GUJALKALI,/company/GUJALKALI/consolidated/,633.00,4648.77,Jun 2026,Mar 2026,True,47.28,47.28,0.0,0.94,3.26,2.32,3.72,3.02,-0.7,,,,48.04,46.44,-1.6,73032.0,64106.0,-8926.0
Gujarat Energy,GUJENERGY,/company/GUJENERGY/consolidated/,235.85,22128.16,Jun 2026,Mar 2026,True,60.89,38.94,-21.95,3.98,10.85,6.87,14.76,24.18,9.42,7.01,7.29,0.28,13.35,18.73,5.38,173919.0,327344.0,153425.0
Gujarat Fluoroch,FLUOROCHEM,/company/FLUOROCHEM/consolidated/,4462.95,49025.54,Jun 2026,Mar 2026,True,61.39,61.39,0.0,4.28,4.41,0.13,13.48,13.33,-0.15,,,,20.85,20.86,0.01,62703.0,61120.0,-1583.0
Gulshan Polyols,GULPOLY,/company/GULPOLY/,170.75,1064.96,Jun 2026,Mar 2026,True,66.8,66.8,0.0,0.29,0.32,0.03,0.0,0.0,0.0,,,,32.6,32.58,-0.02,35805.0,35573.0,-232.0
GYFTR,GYFTR,/company/GYFTR/consolidated/,167.80,1288.84,Jul 2026,Jun 2026,True,50.08,50.08,0.0,5.1,5.1,0.0,4.41,4.43,0.02,,,,40.41,40.39,-0.02,6809.0,6802.0,-7.0
H U D C O,HUDCO,/company/HUDCO/consolidated/,174.60,34953.17,Jun 2026,Mar 2026,True,75.0,75.0,0.0,2.22,2.4,0.18,11.03,10.09,-0.94,,,,11.74,12.49,0.75,790412.0,757055.0,-33357.0
Happiest Minds,HAPPSTMNDS,/company/HAPPSTMNDS/consolidated/,309.85,4718.31,Jun 2026,Mar 2026,True,44.21,44.21,0.0,5.94,6.0,0.06,8.99,5.66,-3.33,,,,39.53,42.89,3.36,642274.0,640983.0,-1291.0
Happy Forgings,HAPPYFORGE,/company/HAPPYFORGE/consolidated/,2080.70,19642.02,Jun 2026,Mar 2026,True,78.48,78.46,-0.02,1.73,1.88,0.15,16.48,15.54,-0.94,,,,3.3,4.12,0.82,57815.0,64341.0,6526.0
Hariom Pipe,HARIOMPIPE,/company/HARIOMPIPE/,344.75,1067.59,Jun 2026,Mar 2026,True,57.27,57.27,0.0,9.5,10.25,0.75,0.06,0.07,0.01,,,,33.19,32.43,-0.76,53763.0,54386.0,623.0
Harsha Engg Intl,HARSHA,/company/HARSHA/consolidated/,460.55,4193.01,Jun 2026,Mar 2026,True,75.0,75.0,0.0,2.37,1.79,-0.58,12.42,13.02,0.6,,,,10.21,10.19,-0.02,70615.0,68521.0,-2094.0
Hawkins Cookers,HAWKINCOOK,/company/HAWKINCOOK/,8038.75,4252.49,Jun 2026,Mar 2026,True,56.03,56.03,0.0,2.74,2.74,0.0,15.82,16.03,0.21,0.02,0.0,-0.02,25.39,25.18,-0.21,18840.0,17574.0,-1266.0
HDB FINANC SER,HDBFS,/company/HDBFS/,649.50,53960.12,Jun 2026,Mar 2026,True,74.12,74.12,0.0,3.01,3.55,0.54,12.29,12.1,-0.19,,,,10.35,10.0,-0.35,961497.0,925474.0,-36023.0
HDFC Life Insur.,HDFCLIFE,/company/HDFCLIFE/consolidated/,530.15,115179.84,Jun 2026,Mar 2026,True,50.21,50.54,0.33,22.52,19.27,-3.25,17.25,20.19,2.94,,,,10.0,9.98,-0.02,691649.0,705326.0,13677.0
Health.Global,HCG,/company/HCG/consolidated/,700.25,10454.88,Jun 2026,Mar 2026,True,64.21,64.21,0.0,2.76,2.73,-0.03,18.91,19.2,0.29,,,,14.15,13.86,-0.29,47649.0,48905.0,1256.0
HEG Advanced Materials,HEGAM,/company/HEGAM/consolidated/,243.00,4689.40,Sep 2026,Jun 2026,True,56.27,60.72,4.45,8.47,5.29,-3.18,9.27,12.77,3.5,,,,25.97,21.21,-4.76,139601.0,134276.0,-5325.0
Hexaware Tech.,HEXT,/company/HEXT/consolidated/,498.75,30474.41,Jun 2026,Mar 2026,True,74.3,74.3,0.0,4.2,3.19,-1.01,15.04,16.06,1.02,,,,6.18,6.23,0.05,118229.0,126681.0,8452.0
HFCL,HFCL,/company/HFCL/consolidated/,211.00,32295.69,Jun 2026,Mar 2026,True,28.29,28.29,0.0,7.08,15.74,8.66,8.57,10.92,2.35,,,,56.02,45.02,-11.0,803693.0,732721.0,-70972.0
