ticker,name,peer_of,current_price,pe_ratio,market_cap,div_yield,net_profit_qtr,qtr_profit_var,sales_qtr,qtr_sales_var,roce,latest_quarter,results_pending
SHRIRAMFIN,Shriram Finance,IIFL;MUTHOOTFIN;POONAWALLA;SGFIN,933.70,21.92,219754.08,,,40.94,,9.25,,Mar 2026,False
MUTHOOTFIN,Muthoot Finance,IIFL;MUTHOOTFIN;POONAWALLA;SGFIN,3290.90,12.47,132053.46,,,126.67,,65.23,,Mar 2026,False
CHOLAFIN,Cholaman.Inv.&Fn,IIFL;MUTHOOTFIN;POONAWALLA;SGFIN,1527.90,24.88,130163.51,,,30.62,,19.46,,Mar 2026,False
TATACAP,Tata Capital,IIFL;MUTHOOTFIN;POONAWALLA;SGFIN,302.95,26.35,128556.56,,,42.82,,9.12,,Mar 2026,False
LTF,L&T Finance Ltd,IIFL;MUTHOOTFIN;POONAWALLA;SGFIN,278.75,23.26,69851.87,,,26.79,,18.60,,Mar 2026,False
SBICARD,SBI Cards,IIFL;MUTHOOTFIN;POONAWALLA;SGFIN,624.00,27.41,59384.92,,,14.06,,5.57,,,True
APOLLO,Apollo Micro Sys,APOLLO,311.00,98.50,11123.13,,,168.71,,81.28,,Mar 2026,False
CREDITACC,CreditAcc. Gram.,SATIN,1298.80,26.77,20813.69,,,619.23,,13.55,,Mar 2026,False
MUTHOOTMF,Muthoot Microfin,SATIN,177.46,17.74,3021.21,,,117.73,,13.83,,,True
FUSION,Fusion Finance,SATIN,183.34,213.39,2955.48,,,169.39,,-9.02,,,True
SATIN,Satin Creditcare,SATIN,219.37,7.29,2420.04,,,640.16,,49.48,,Mar 2026,False
SPANDANA,Spandana Sphoort,SATIN,257.08,,2053.85,,,101.34,,-36.33,,Mar 2026,False
IIFL,IIFL Finance,IIFL,455.85,11.67,19386.83,,,182.57,,42.50,,Mar 2026,False
CONCOR,Container Corpn.,SHADOWFAX,501.95,29.90,38196.28,,,-8.93,,4.49,,Dec 2025,True
DELHIVERY,Delhivery,SHADOWFAX,455.75,191.18,34126.39,,,-2.29,,30.04,,Mar 2026,False
BLUEDART,Blue Dart Expres,SHADOWFAX,4899.50,41.54,11651.09,,,-11.26,,8.20,,Mar 2026,False
SHADOWFAX,Shadowfax Technologies,SHADOWFAX,185.61,96.90,10825.14,,,665.65,,73.64,,Mar 2026,False
TCI,Transport Corp.,SHADOWFAX,880.65,15.08,6757.68,,,13.68,,8.87,,Dec 2025,True
TVSSCS,TVS Supply,SHADOWFAX,110.33,30.88,4836.38,,,153.87,,11.09,,Dec 2025,True
VRLLOG,VRL Logistics,SHADOWFAX,243.70,18.05,4275.28,,,-2.87,,5.42,,,True
MAHLOG,Mahindra Logis.,SHADOWFAX,360.35,1418.45,3574.00,,,399.11,,14.14,,Mar 2026,False
APLAPOLLO,APL Apollo Tubes,JTLIND,1876.00,43.29,52076.32,,,20.89,,13.81,,Mar 2026,False
WELCORP,Welspun Corp,JTLIND,1297.90,22.07,34254.40,,,-32.91,,25.43,,Dec 2025,True
SHYAMMETL,Shyam Metalics,JTLIND,886.65,23.12,24744.99,,,45.87,,26.60,,Mar 2026,False
GPIL,Godawari Power,JTLIND,283.30,25.73,19088.16,,,-1.06,,-12.19,,Dec 2025,True
RATNAMANI,Ratnamani Metals,JTLIND,2466.40,35.33,17300.02,,,-52.04,,-36.75,,Mar 2026,False
GALLANTT,Gallantt Ispat L,JTLIND,689.40,34.36,16641.73,,,5.61,,12.37,,Mar 2026,False
USHAMART,Usha Martin,JTLIND,469.25,28.40,14307.57,,,56.00,,9.28,,Mar 2026,False
JTLIND,JTL Industries,JTLIND,66.25,25.81,2541.40,,,104.58,,47.55,,Mar 2026,False
HUBTOWN,Hubtown,HUBTOWN,206.32,19.65,2917.39,,,546.18,,65.37,,Mar 2026,False
SGFIN,SG Finserve,SGFIN,548.95,28.32,3615.74,,,77.68,,94.88,,,True
UPL,UPL,NACLIND,637.85,28.49,53836.99,,,-0.46,,17.74,,Mar 2026,False
PIIND,P I Industries,NACLIND,3096.30,34.44,47009.69,,,-39.61,,-27.63,,Dec 2025,True
SUMICHEM,Sumitomo Chemi.,NACLIND,449.65,41.43,22471.03,,,2.27,,-11.35,,Dec 2025,True
BAYERCROP,Bayer Crop Sci.,NACLIND,4300.00,28.82,19323.10,,,179.82,,4.62,,Dec 2006,True
SHARDACROP,Sharda Cropchem,NACLIND,901.20,11.93,8121.46,,,56.53,,12.93,,Mar 2026,False
RALLIS,Rallis India,NACLIND,255.60,24.61,4965.91,,,48.98,,6.05,,Mar 2022,True
DHANUKA,Dhanuka Agritech,NACLIND,1085.90,18.51,4905.02,,,-27.33,,-7.94,,Mar 2025,True
NACLIND,NACL Industries,NACLIND,161.11,221.23,3765.27,,,98.91,,79.19,,Mar 2026,False
POONAWALLA,Poonawalla Fin,POONAWALLA,415.15,67.44,36537.51,,,308.78,,81.39,,Mar 2026,False
SOBHA,Sobha,SOBHA,1382.20,76.37,14770.21,,,124.77,,60.23,,Mar 2026,False
SOLARA,Solara Active,SOLARA,561.35,,2032.14,,,516.19,,41.86,,Mar 2026,False
ETERNAL,Eternal,ETERNAL,241.40,636.84,233085.10,,,346.15,,196.45,,Mar 2026,False
MEESHO,Meesho,ETERNAL,190.40,,87345.00,,,-55.96,,47.13,,Mar 2026,False
NYKAA,FSN E-Commerce,ETERNAL,272.70,515.84,78102.19,,,178.56,,26.73,,Dec 2025,True
SWIGGY,Swiggy,ETERNAL,254.10,,70167.04,,,25.99,,44.74,,Mar 2026,False
URBANCO,Urban Company,ETERNAL,122.26,,18829.79,,,-5574.65,,42.59,,Mar 2026,False
FIRSTCRY,Brainbees Solut.,ETERNAL,216.91,,11314.71,,,-468.42,,11.57,,Dec 2025,True
CARTRADE,Cartrade Tech,ETERNAL,1784.10,37.49,8547.80,,,54.50,,19.84,,Mar 2026,False
SIGNATURE,SignatureGlobal,SIGNATURE,841.00,329.82,11837.12,,,61.39,,112.76,,Mar 2026,False
WINDMACHIN,Windsor Machines,WINDMACHIN,277.10,2006.27,2427.59,,,212.70,,52.82,,Mar 2026,False
KALPATARU,Kalpat.,KALPATARU,322.35,69.80,6628.62,,,1326.83,,183.76,,Mar 2026,False
IDEAFORGE,Ideaforge Tech,IDEAFORGE,817.70,,3550.85,,,333.33,,594.44,,Mar 2026,False
BAJAJ-AUTO,Bajaj Auto,ATHERENERG,10198.50,26.46,285029.39,,,101.63,,41.01,,Mar 2026,False
EICHERMOT,Eicher Motors,ATHERENERG,6913.00,35.07,189436.26,,,25.12,,22.94,,Dec 2025,True
TVSMOTOR,TVS Motor Co.,ATHERENERG,3291.00,51.26,156337.64,,,20.91,,30.42,,Mar 2026,False
HEROMOTOCO,Hero Motocorp,ATHERENERG,4957.00,17.00,99170.41,,,25.72,,30.18,,Mar 2026,False
ATHERENERG,Ather Energy,ATHERENERG,910.35,,34870.39,,,57.23,,73.75,,,True
OLAELEC,Ola Electric,ATHERENERG,34.93,,15398.40,,,13.65,,-55.02,,Dec 2025,True
544563,Zelio E-Mobility,ATHERENERG,449.40,45.74,950.48,,,67.66,,77.10,,Sep 2025,True
