name,url,latest_quarter,is_fresh,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change
OneSource Speci.,/company/ONESOURCE/consolidated/,Jun 2026,True,17.5,19.19,1.69,20.61,23.37,2.76
KRN Heat Exchan,/company/KRN/consolidated/,Jun 2026,True,6.66,8.86,2.2,6.39,8.33,1.94
GNG Electronics,/company/EBGNG/consolidated/,Jun 2026,True,2.78,5.27,2.49,5.2,6.82,1.62
Emcure Pharma,/company/EMCURE/consolidated/,Jun 2026,True,3.35,4.87,1.52,6.1,8.46,2.36
Astra Microwave,/company/ASTRAMICRO/consolidated/,Jun 2026,True,7.56,10.74,3.18,15.42,16.09,0.67
IOL Chemicals,/company/IOLCP/,Jun 2026,True,1.72,4.87,3.15,0.02,0.43,0.41
JSW Energy,/company/JSWENERGY/consolidated/,Jun 2026,True,9.74,11.41,1.67,14.29,16.16,1.87
JSW Cement,/company/JSWCEMENT/consolidated/,Jun 2026,True,2.93,3.7,0.77,8.74,11.49,2.75
Cupid,/company/CUPID/,Jun 2026,True,1.01,4.17,3.16,0.17,0.34,0.17
Anthem Bioscienc,/company/ANTHEM/consolidated/,Jun 2026,True,1.28,2.57,1.29,11.55,13.48,1.93
Senores Pharma.,/company/SENORES/consolidated/,Jun 2026,True,3.64,6.62,2.98,9.62,9.77,0.15
Titagarh Rail,/company/TITAGARH/consolidated/,Jun 2026,True,10.67,10.87,0.2,12.46,15.38,2.92
J & K Bank,/company/J&KBANK/consolidated/,Jun 2026,True,8.35,9.38,1.03,6.0,7.85,1.85
PTC India,/company/PTC/consolidated/,Jun 2026,True,27.46,28.88,1.42,7.52,8.95,1.43
South Ind.Bank,/company/SOUTHBANK/,Jun 2026,True,24.21,25.39,1.18,12.75,14.24,1.49
Sky Gold & Diam.,/company/SKYGOLD/consolidated/,Jun 2026,True,1.2,2.79,1.59,13.14,14.2,1.06
Religare Enterp.,/company/RELIGARE/consolidated/,Jun 2026,True,7.85,9.64,1.79,8.52,9.33,0.81
Vintage Coffee,/company/VINCOFE/consolidated/,Jun 2026,True,4.84,5.39,0.55,7.62,9.59,1.97
Goodluck India,/company/GOODLUCK/consolidated/,Jun 2026,True,1.56,2.48,0.92,4.99,6.5,1.51
Angel One,/company/ANGELONE/consolidated/,Jun 2026,True,12.81,13.76,0.95,18.88,20.34,1.46
Satin Creditcare,/company/SATIN/consolidated/,Jun 2026,True,3.52,4.88,1.36,5.3,6.32,1.02
IndusInd Bank,/company/INDUSINDBK/consolidated/,Jun 2026,True,28.57,29.17,0.6,40.13,41.86,1.73
Renaiss. Global,/company/RGL/consolidated/,Jun 2026,True,2.02,4.15,2.13,0.0,0.14,0.14
Nuvama Wealth,/company/NUVAMA/consolidated/,Jun 2026,True,16.94,19.0,2.06,8.3,8.49,0.19
Suzlon Energy,/company/SUZLON/consolidated/,Jun 2026,True,23.85,24.15,0.3,9.18,11.12,1.94
Va Tech Wabag,/company/WABAG/consolidated/,Jun 2026,True,16.6,18.25,1.65,5.77,6.33,0.56
Quadrant Future,/company/QUADFUTURE/,Jun 2026,True,0.02,1.85,1.83,1.7,2.08,0.38
Borosil Renew.,/company/BORORENEW/,Jun 2026,True,4.27,6.14,1.87,2.33,2.62,0.29
NIBE,/company/NIBE/consolidated/,Jun 2026,True,8.67,10.59,1.92,0.35,0.55,0.2
Krishna Institu.,/company/KIMS/consolidated/,Jun 2026,True,14.57,14.75,0.18,32.5,34.42,1.92
Gandhar Oil Ref.,/company/GANDHAR/consolidated/,Jun 2026,True,0.14,1.27,1.13,0.09,1.02,0.93
