screen_stock_name,screen_stock_ticker,peer_name,peer_ticker,current_price,pe_ratio,market_cap,div_yield,net_profit_qtr,qtr_profit_var,sales_qtr,qtr_sales_var,roce,Debt / Eq,EPS 12M Rs.
Indiabulls,IBULLSLTD,Smartworks Cowor,SMARTWORKS,419.85,451.15,4750.59,,,300.24,,44.99,,9.00,0.92
Indiabulls,IBULLSLTD,Indiabulls,IBULLSLTD,18.45,13.24,4286.26,,,259.74,,302.18,,0.15,1.18
Muthoot Finance,MUTHOOTFIN,Bajaj Finance,BAJFINANCE,921.10,29.86,573598.65,,,21.99,,18.10,,3.82,30.56
Muthoot Finance,MUTHOOTFIN,Shriram Finance,SHRIRAMFIN,933.70,21.92,219754.08,,,40.94,,9.25,,3.80,53.28
Muthoot Finance,MUTHOOTFIN,Muthoot Finance,MUTHOOTFIN,3290.90,12.47,132053.46,,,126.67,,65.23,,3.88,263.79
Muthoot Finance,MUTHOOTFIN,Cholaman.Inv.&Fn,CHOLAFIN,1527.90,24.88,130163.51,,,30.62,,19.46,,6.93,61.41
Muthoot Finance,MUTHOOTFIN,Tata Capital,TATACAP,302.95,26.35,128556.56,,,42.82,,9.12,,5.15,11.42
Muthoot Finance,MUTHOOTFIN,L&T Finance Ltd,LTF,278.75,23.26,69851.87,,,26.79,,18.60,,3.94,11.90
Muthoot Finance,MUTHOOTFIN,SBI Cards,SBICARD,624.00,27.41,59384.92,,,14.06,,5.57,,2.80,22.77
Apollo Micro Sys,APOLLO,Bharat Electron,BEL,426.60,52.29,311871.97,,,20.45,,23.97,,0.00,8.16
Apollo Micro Sys,APOLLO,Hind.Aeronautics,HAL,4326.50,31.74,289322.42,,,5.52,,1.77,,0.00,136.30
Apollo Micro Sys,APOLLO,Bharat Dynamics,BDL,1309.20,82.58,47890.99,,,-50.44,,-31.91,,0.00,15.82
Apollo Micro Sys,APOLLO,Garden Reach Sh.,GRSE,2581.70,39.55,29582.70,,,24.14,,29.06,,0.01,65.29
Apollo Micro Sys,APOLLO,MTAR Technologie,MTARTECH,7110.50,222.98,21883.56,,,212.25,,67.14,,0.46,30.99
Apollo Micro Sys,APOLLO,Data Pattern,DATAPATTNS,3752.20,76.83,21022.85,,,21.30,,-12.96,,0.00,48.47
Apollo Micro Sys,APOLLO,Zen Technologies,ZENTEC,1557.00,72.96,14069.07,,,-68.80,,-45.20,,0.01,21.43
Apollo Micro Sys,APOLLO,Apollo Micro Sys,APOLLO,311.00,98.50,11123.13,,,168.71,,81.28,,0.41,3.16
Satin Creditcare,SATIN,CreditAcc. Gram.,CREDITACC,1298.80,26.77,20813.69,,,619.23,,13.55,,3.01,48.54
Satin Creditcare,SATIN,Muthoot Microfin,MUTHOOTMF,177.46,17.74,3021.21,,,117.73,,13.83,,3.40,9.99
Satin Creditcare,SATIN,Fusion Finance,FUSION,183.34,213.39,2955.48,,,169.39,,-9.02,,2.27,0.86
Satin Creditcare,SATIN,Satin Creditcare,SATIN,219.37,7.29,2420.04,,,640.16,,49.48,,3.84,30.07
Satin Creditcare,SATIN,Spandana Sphoort,SPANDANA,257.08,,2053.85,,,101.34,,-36.33,,1.74,-70.36
IIFL Finance,IIFL,Bajaj Finance,BAJFINANCE,921.10,29.86,573598.65,,,21.99,,18.10,,3.82,30.56
IIFL Finance,IIFL,Shriram Finance,SHRIRAMFIN,933.70,21.92,219754.08,,,40.94,,9.25,,3.80,53.28
IIFL Finance,IIFL,Muthoot Finance,MUTHOOTFIN,3290.90,12.47,132053.46,,,126.67,,65.23,,3.88,263.79
IIFL Finance,IIFL,Cholaman.Inv.&Fn,CHOLAFIN,1527.90,24.88,130163.51,,,30.62,,19.46,,6.93,61.41
IIFL Finance,IIFL,Tata Capital,TATACAP,302.95,26.35,128556.56,,,42.82,,9.12,,5.15,11.42
IIFL Finance,IIFL,L&T Finance Ltd,LTF,278.75,23.26,69851.87,,,26.79,,18.60,,3.94,11.90
IIFL Finance,IIFL,SBI Cards,SBICARD,624.00,27.41,59384.92,,,14.06,,5.57,,2.80,22.77
IIFL Finance,IIFL,IIFL Finance,IIFL,455.85,11.67,19386.83,,,182.57,,42.50,,5.01,39.05
Shadowfax Technologies,SHADOWFAX,Container Corpn.,CONCOR,501.95,29.90,38196.28,,,-8.93,,4.49,,0.07,16.78
Shadowfax Technologies,SHADOWFAX,Delhivery,DELHIVERY,455.75,191.18,34126.39,,,-2.29,,30.04,,0.15,2.04
Shadowfax Technologies,SHADOWFAX,Blue Dart Expres,BLUEDART,4899.50,41.54,11651.09,,,-11.26,,8.20,,0.64,104.26
Shadowfax Technologies,SHADOWFAX,Shadowfax Technologies,SHADOWFAX,185.61,96.90,10825.14,,,665.65,,73.64,,0.14,1.92
Shadowfax Technologies,SHADOWFAX,Transport Corp.,TCI,880.65,15.08,6757.68,,,13.68,,8.87,,0.11,58.42
Shadowfax Technologies,SHADOWFAX,TVS Supply,TVSSCS,110.33,30.88,4836.38,,,153.87,,11.09,,1.14,2.08
Shadowfax Technologies,SHADOWFAX,VRL Logistics,VRLLOG,243.70,18.05,4275.28,,,-2.87,,5.42,,1.01,13.54
