name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_target,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
Supreme Petroch.,SPLPETRO,/company/SPLPETRO/,864.75,16260.88,Jun 2026,Mar 2026,,64.24,64.24,0.0,3.69,3.8,0.11,4.24,4.14,-0.1,0.09,0.09,0.0,27.74,27.73,-0.01,41031.0,42429.0,1398.0
Creative Newtech,CNL,/company/CNL/consolidated/,1108.10,1664.00,Jun 2026,Mar 2026,,56.62,56.62,0.0,0.22,0.27,0.05,1.08,1.28,0.2,,,,42.09,41.83,-0.26,8832.0,9062.0,230.0
Vinyas Innovativ,VINYAS,/company/VINYAS/,1589.00,1999.71,Mar 2026,Sep 2025,,29.39,29.4,0.01,0.47,0.49,0.02,4.53,6.53,2.0,,,,65.61,63.59,-2.02,1551.0,1673.0,122.0
Federal-Mogul Go,FMGOETZE,/company/FMGOETZE/consolidated/,446.75,2485.27,Jun 2026,Mar 2026,,74.98,74.98,0.0,0.38,0.39,0.01,0.49,0.49,0.0,,,,24.13,24.14,0.01,29894.0,29583.0,-311.0
Gulshan Polyols,GULPOLY,/company/GULPOLY/,173.10,1079.63,Jun 2026,Mar 2026,,66.8,66.8,0.0,0.29,0.32,0.03,0.0,0.0,0.0,,,,32.6,32.58,-0.02,35805.0,35573.0,-232.0
Punjab Chemicals,PUNJABCHEM,/company/PUNJABCHEM/consolidated/,1066.20,1307.16,Jun 2026,Mar 2026,,39.24,39.24,0.0,3.01,5.86,2.85,0.62,0.64,0.02,,,,57.14,54.28,-2.86,19299.0,19497.0,198.0
NRB Bearings,NRBBEARING,/company/NRBBEARING/consolidated/,520.50,5044.82,Jun 2026,Mar 2026,,51.2,44.73,-6.47,14.69,18.92,4.23,10.06,13.85,3.79,,,,24.06,22.5,-1.56,70810.0,65659.0,-5151.0
Talbros Auto.,TALBROAUTO,/company/TALBROAUTO/consolidated/,475.30,2933.94,Jun 2026,Mar 2026,,58.43,58.43,0.0,0.49,1.27,0.78,0.09,0.18,0.09,,,,40.99,40.12,-0.87,60911.0,55208.0,-5703.0
Share India Sec.,SHAREINDIA,/company/SHAREINDIA/consolidated/,223.32,4886.81,Jun 2026,Mar 2026,,48.62,48.62,0.0,1.54,1.87,0.33,0.47,0.48,0.01,,,,49.38,49.03,-0.35,67413.0,66409.0,-1004.0
Allied Blenders,ABDL,/company/ABDL/consolidated/,647.90,18122.42,Jun 2026,Mar 2026,,80.91,80.91,0.0,3.23,3.24,0.01,4.82,5.07,0.25,,,,11.03,10.77,-0.26,119762.0,112420.0,-7342.0
Strides Pharma,STAR,/company/STAR/consolidated/,1217.40,11221.11,Jun 2026,Mar 2026,,27.91,27.91,0.0,28.68,28.4,-0.28,14.44,15.42,0.98,0.01,0.01,0.0,28.96,28.28,-0.68,86616.0,94850.0,8234.0
Fineotex Chem,FCL,/company/FCL/consolidated/,57.39,6683.07,Jun 2026,Mar 2026,,62.3,62.3,0.0,2.92,3.16,0.24,1.27,1.35,0.08,,,,33.5,33.18,-0.32,162276.0,180711.0,18435.0
Marine Electric.,MARINE,/company/MARINE/consolidated/,411.45,5758.01,Jun 2026,Mar 2026,,68.2,68.2,0.0,0.59,1.12,0.53,0.34,0.41,0.07,,,,30.87,30.27,-0.6,89030.0,86580.0,-2450.0
Chamanlal Setia,CLSEL,/company/CLSEL/,293.40,1458.95,Jun 2026,Mar 2026,,74.05,74.05,0.0,3.08,3.3,0.22,1.58,1.57,-0.01,,,,21.29,21.08,-0.21,27693.0,27647.0,-46.0
Vintage Coffee,VINCOFE,/company/VINCOFE/consolidated/,174.20,2551.83,Jun 2026,Mar 2026,,34.65,34.65,0.0,4.84,5.39,0.55,7.62,9.59,1.97,,,,52.9,50.38,-2.52,36411.0,44709.0,8298.0
Guj. Themis Bio.,GUJTHEM,/company/GUJTHEM/,411.65,5357.69,Aug 2026,Jun 2026,,70.87,59.33,-11.54,1.76,4.93,3.17,1.17,13.79,12.62,,,,26.18,21.95,-4.23,27010.0,26899.0,-111.0
Garware Hi Tech,GRWRHITECH,/company/GRWRHITECH/consolidated/,6366.50,14790.90,Jun 2026,Mar 2026,,60.73,60.73,0.0,3.98,4.22,0.24,5.28,6.35,1.07,,,,30.04,28.72,-1.32,54492.0,56759.0,2267.0
Piccadily Agro,PICCADIL,/company/PICCADIL/consolidated/,614.80,6060.22,Jun 2026,Mar 2026,,68.56,68.56,0.0,0.76,0.81,0.05,0.79,0.88,0.09,,,,29.9,29.74,-0.16,73813.0,72980.0,-833.0
Carysil,CARYSIL,/company/CARYSIL/consolidated/,1065.30,3029.99,Jun 2026,Mar 2026,,41.34,41.34,0.0,1.59,1.63,0.04,11.74,11.91,0.17,0.0,0.0,0.0,45.35,45.11,-0.24,47620.0,50289.0,2669.0
Assoc.Alcohols,ASALCBR,/company/ASALCBR/,651.80,1308.76,Jun 2026,Mar 2026,,62.35,62.35,0.0,0.33,0.68,0.35,0.94,1.26,0.32,,,,36.37,35.71,-0.66,42643.0,40991.0,-1652.0
Indigo Paints,INDIGOPNTS,/company/INDIGOPNTS/,1142.00,5451.07,Jun 2026,Mar 2026,,53.88,53.88,0.0,7.42,5.73,-1.69,23.0,25.25,2.25,,,,15.72,15.16,-0.56,144361.0,139467.0,-4894.0
TCPL Packaging,TCPLPACK,/company/TCPLPACK/,3833.80,3488.76,Jun 2026,Mar 2026,,55.74,55.73,-0.01,1.04,1.01,-0.03,13.56,13.69,0.13,,,,29.45,29.34,-0.11,15717.0,15413.0,-304.0
EPL Ltd,EPL,/company/EPL/consolidated/,236.65,7580.23,Jun 2026,Mar 2026,,26.38,26.38,0.0,17.22,14.07,-3.15,10.2,13.8,3.6,,,,46.2,45.75,-0.45,95910.0,91469.0,-4441.0
Laurus Labs,LAURUSLABS,/company/LAURUSLABS/consolidated/,2006.50,108413.65,Jun 2026,Mar 2026,,27.49,27.47,-0.02,25.82,28.0,2.18,13.96,13.73,-0.23,,,,32.73,30.79,-1.94,292281.0,291653.0,-628.0
Lumax Industries,LUMAXIND,/company/LUMAXIND/consolidated/,5846.00,5466.01,Jun 2026,Mar 2026,,75.0,75.0,0.0,1.63,1.36,-0.27,6.07,6.7,0.63,,,,17.3,16.94,-0.36,23690.0,24495.0,805.0
Mangalam World.,MWL,/company/MWL/consolidated/,42.03,1248.32,Jun 2026,Mar 2026,,66.5,66.5,0.0,0.01,0.26,0.25,0.0,0.0,0.0,,,,33.49,33.24,-0.25,1683.0,2824.0,1141.0
Mastek,MASTEK,/company/MASTEK/consolidated/,1567.90,4861.49,Jun 2026,Mar 2026,,35.77,35.77,0.0,8.03,7.45,-0.58,19.02,19.86,0.84,,,,37.18,36.94,-0.24,88918.0,90431.0,1513.0
L T Foods,LTFOODS,/company/LTFOODS/consolidated/,421.35,14631.50,Jun 2026,Mar 2026,,51.0,51.0,0.0,8.74,8.21,-0.53,10.3,10.84,0.54,,,,29.97,29.95,-0.02,202282.0,187263.0,-15019.0
Sundram Fasten.,SUNDRMFAST,/company/SUNDRMFAST/consolidated/,1190.90,25024.19,Jun 2026,Mar 2026,,46.94,46.94,0.0,11.25,11.4,0.15,22.39,22.3,-0.09,,,,19.42,19.34,-0.08,77340.0,71664.0,-5676.0
India Homes,513361,/company/513361/,26.86,1069.25,Jun 2026,Mar 2026,,35.4,34.25,-1.15,0.0,0.0,0.0,3.52,4.88,1.36,,,,61.08,60.87,-0.21,58257.0,56712.0,-1545.0
Nuvama Wealth,NUVAMA,/company/NUVAMA/consolidated/,1675.70,30908.14,Jun 2026,Mar 2026,,54.13,53.98,-0.15,16.94,19.0,2.06,8.3,8.49,0.19,,,,20.62,18.51,-2.11,122511.0,116526.0,-5985.0
TVS Motor Co.,TVSMOTOR,/company/TVSMOTOR/consolidated/,4140.00,196686.07,Jun 2026,Mar 2026,,50.27,50.27,0.0,22.56,20.45,-2.11,18.84,21.12,2.28,,,,8.3,8.12,-0.18,324891.0,331196.0,6305.0
Global Health,MEDANTA,/company/MEDANTA/consolidated/,1487.80,40002.74,Jun 2026,Mar 2026,,33.01,33.0,-0.01,10.15,9.46,-0.69,14.76,16.89,2.13,,,,42.01,40.55,-1.46,147390.0,140531.0,-6859.0
Rainbow Child.,RAINBOW,/company/RAINBOW/consolidated/,1430.90,14533.17,Jun 2026,Mar 2026,,49.84,49.84,0.0,17.24,16.03,-1.21,21.12,22.56,1.44,,,,11.68,11.39,-0.29,88561.0,89305.0,744.0
Saregama India,SAREGAMA,/company/SAREGAMA/consolidated/,503.35,9705.07,Jun 2026,Mar 2026,,60.84,60.84,0.0,12.18,11.5,-0.68,7.1,8.6,1.5,,,,19.42,18.63,-0.79,68640.0,71163.0,2523.0
Suraksha Diagno.,SURAKSHA,/company/SURAKSHA/consolidated/,353.40,1840.53,Jun 2026,Mar 2026,,49.1,49.1,0.0,13.46,13.47,0.01,23.14,23.22,0.08,,,,14.31,14.2,-0.11,67107.0,64866.0,-2241.0
Eveready Inds.,EVEREADY,/company/EVEREADY/consolidated/,329.05,2391.77,Jun 2026,Mar 2026,,43.2,43.6,0.4,5.27,5.44,0.17,2.78,2.84,0.06,,,,48.75,48.12,-0.63,62473.0,62890.0,417.0
FSN E-Commerce,NYKAA,/company/NYKAA/consolidated/,333.55,95538.55,Jun 2026,Mar 2026,,52.09,52.07,-0.02,12.4,13.73,1.33,25.35,24.08,-1.27,,,,10.15,10.12,-0.03,395677.0,383806.0,-11871.0
Adani Power,ADANIPOWER,/company/ADANIPOWER/consolidated/,206.96,399116.04,Jun 2026,Mar 2026,,74.96,74.96,0.0,11.73,11.76,0.03,3.69,4.07,0.38,,,,9.63,9.2,-0.43,2087011.0,2116256.0,29245.0
Kewal Kir.Cloth.,KKCL,/company/KKCL/consolidated/,484.80,2987.59,Jun 2026,Mar 2026,,74.29,74.29,0.0,2.32,2.37,0.05,8.6,8.85,0.25,,,,14.8,14.48,-0.32,33321.0,32735.0,-586.0
Paras Defence,PARAS,/company/PARAS/consolidated/,1375.50,11084.79,Jun 2026,Mar 2026,,53.2,53.2,0.0,5.06,8.29,3.23,1.24,3.04,1.8,,,,40.52,35.46,-5.06,376813.0,336442.0,-40371.0
Avenue Super.,DMART,/company/DMART/consolidated/,3777.00,246353.31,Jun 2026,Mar 2026,,74.51,74.48,-0.03,9.0,9.22,0.22,8.77,8.67,-0.1,0.07,0.07,0.0,7.64,7.55,-0.09,573764.0,542175.0,-31589.0
Mahanagar Gas,MGL,/company/MGL/,1067.30,10542.55,Jun 2026,Mar 2026,,32.5,32.5,0.0,24.13,23.21,-0.92,21.01,22.53,1.52,10.0,10.0,0.0,12.34,11.75,-0.59,184373.0,178033.0,-6340.0
Tube Investments,TIINDIA,/company/TIINDIA/consolidated/,2574.00,49825.52,Jun 2026,Mar 2026,,44.05,44.11,0.06,21.42,22.35,0.93,21.75,21.01,-0.74,0.45,0.45,0.0,12.33,12.08,-0.25,106178.0,100623.0,-5555.0
Aditya Vision,AVL,/company/AVL/,627.10,8098.25,Jun 2026,Mar 2026,,47.14,47.14,0.0,16.18,15.05,-1.13,19.57,21.67,2.1,,,,17.11,16.13,-0.98,33945.0,33586.0,-359.0
Indian Hotels Co,INDHOTEL,/company/INDHOTEL/consolidated/,736.25,104800.20,Jun 2026,Mar 2026,,38.12,38.12,0.0,23.23,21.71,-1.52,22.58,24.47,1.89,0.13,0.13,0.0,15.95,15.59,-0.36,646147.0,638645.0,-7502.0
India Nipp.Elec.,INDNIPPON,/company/INDNIPPON/consolidated/,1237.00,2798.27,Jun 2026,Mar 2026,,70.37,70.37,0.0,0.41,0.33,-0.08,0.06,0.22,0.16,,,,29.14,29.1,-0.04,22994.0,24035.0,1041.0
Honeywell Auto,HONAUT,/company/HONAUT/,34025.00,30078.10,Jun 2026,Mar 2026,,75.0,75.0,0.0,3.74,3.94,0.2,11.28,11.31,0.03,,,,9.96,9.74,-0.22,34974.0,33525.0,-1449.0
Bliss GVS Pharma,BLISSGVS,/company/BLISSGVS/consolidated/,694.60,7385.71,Jun 2026,Mar 2026,,35.36,35.01,-0.35,10.45,8.07,-2.38,5.04,9.46,4.42,,,,49.15,47.45,-1.7,44874.0,46767.0,1893.0
Sarda Energy,SARDAEN,/company/SARDAEN/consolidated/,503.35,17737.11,Jun 2026,Mar 2026,,73.16,73.16,0.0,3.5,3.51,0.01,3.32,3.47,0.15,,,,20.01,19.84,-0.17,90809.0,91188.0,379.0
Remus Pharma.,REMUS,/company/REMUS/consolidated/,951.15,1120.84,Mar 2026,Sep 2025,,70.91,70.95,0.04,5.02,5.28,0.26,0.77,0.83,0.06,,,,23.31,22.93,-0.38,2032.0,2009.0,-23.0
Flair Writing,FLAIR,/company/FLAIR/consolidated/,241.29,2543.09,Jun 2026,Mar 2026,,78.59,78.59,0.0,0.3,0.77,0.47,10.34,10.25,-0.09,,,,10.78,10.4,-0.38,51355.0,50418.0,-937.0
NCC,NCC,/company/NCC/consolidated/,134.41,8438.89,Jun 2026,Mar 2026,,22.81,23.09,0.28,12.11,11.29,-0.82,16.4,17.88,1.48,,,,48.68,47.75,-0.93,557418.0,543274.0,-14144.0
Syrma SGS Tech.,SYRMA,/company/SYRMA/consolidated/,1741.80,33587.21,Jun 2026,Mar 2026,,42.28,42.28,0.0,6.6,7.51,0.91,16.59,15.9,-0.69,0.01,0.01,0.0,34.41,34.17,-0.24,178986.0,204149.0,25163.0
Welspun Enterp,WELENT,/company/WELENT/consolidated/,783.75,10848.18,Jun 2026,Mar 2026,,56.13,56.13,0.0,3.47,3.92,0.45,9.32,9.25,-0.07,,,,29.04,28.68,-0.36,51521.0,51191.0,-330.0
Dodla Dairy,DODLA,/company/DODLA/consolidated/,1047.60,6319.94,Jun 2026,Mar 2026,,58.92,58.92,0.0,6.44,6.08,-0.36,25.34,25.85,0.51,,,,9.3,9.16,-0.14,33649.0,33213.0,-436.0
SBC Exports,SBC,/company/SBC/,49.23,2344.28,Jun 2026,Mar 2026,,50.35,50.28,-0.07,0.77,2.79,2.02,0.0,0.08,0.08,,,,48.88,46.86,-2.02,122113.0,121469.0,-644.0
Alkyl Amines,ALKYLAMINE,/company/ALKYLAMINE/,1863.80,9533.01,Jun 2026,Mar 2026,,72.05,72.04,-0.01,3.45,3.5,0.05,3.01,3.1,0.09,,,,21.49,21.36,-0.13,146028.0,142625.0,-3403.0
Deep Industries,DEEPINDS,/company/DEEPINDS/consolidated/,761.60,4874.24,Jun 2026,Mar 2026,,63.49,63.49,0.0,1.81,1.47,-0.34,1.13,1.53,0.4,,,,33.57,33.5,-0.07,37304.0,37020.0,-284.0
Vaibhav Global,VAIBHAVGBL,/company/VAIBHAVGBL/consolidated/,208.18,3492.63,Jun 2026,Mar 2026,,57.43,57.33,-0.1,16.44,16.66,0.22,2.23,2.22,-0.01,,,,23.87,23.76,-0.11,133255.0,129789.0,-3466.0
BLS E-Services,BLSE,/company/BLSE/consolidated/,328.10,2981.00,Jun 2026,Mar 2026,,69.81,71.87,2.06,0.46,0.64,0.18,0.01,0.02,0.01,,,,29.49,27.24,-2.25,76520.0,69588.0,-6932.0
Arih.Found.Hsg.,ARIHANT,/company/ARIHANT/consolidated/,923.90,1003.59,Jun 2026,Mar 2026,,37.29,37.29,0.0,0.0,0.01,0.01,1.84,1.84,0.0,,,,60.86,60.84,-0.02,3188.0,3218.0,30.0
Vishnu Chemicals,VISHNU,/company/VISHNU/consolidated/,720.90,4852.76,Jun 2026,Mar 2026,,69.21,69.21,0.0,2.3,2.51,0.21,5.72,5.94,0.22,,,,22.78,22.35,-0.43,30468.0,31065.0,597.0
Technocraf.Inds.,TIIL,/company/TIIL/consolidated/,2983.00,6763.30,Jun 2026,Mar 2026,,74.74,74.74,0.0,0.4,0.4,0.0,6.85,7.18,0.33,,,,18.0,17.66,-0.34,47364.0,46501.0,-863.0
Novartis India,NOVARTIND,/company/NOVARTIND/,1973.30,4872.23,Jul 2026,Jun 2026,,70.68,70.68,0.0,0.16,0.15,-0.01,1.35,1.39,0.04,,,,27.81,27.79,-0.02,36502.0,36706.0,204.0
Man Industries,MANINDS,/company/MANINDS/consolidated/,849.90,6375.06,Jun 2026,Mar 2026,,43.21,43.21,0.0,2.41,2.87,0.46,1.34,1.43,0.09,,,,53.03,52.48,-0.55,50913.0,49144.0,-1769.0
Krishival Foods,KRISHIVAL,/company/KRISHIVAL/consolidated/,415.70,1180.60,Aug 2026,Jun 2026,,37.23,37.23,0.0,0.47,0.47,0.0,1.45,3.01,1.56,9.5,9.5,0.0,51.36,49.78,-1.58,2099.0,2046.0,-53.0
Zen Technologies,ZENTEC,/company/ZENTEC/consolidated/,1673.80,15112.80,Jun 2026,Mar 2026,,48.51,48.51,0.0,5.99,6.47,0.48,10.06,10.42,0.36,,,,35.04,34.22,-0.82,314092.0,290771.0,-23321.0
Indiabulls,IBULLSLTD,/company/IBULLSLTD/consolidated/,29.51,6882.33,Jun 2026,Mar 2026,,32.89,32.91,0.02,17.0,17.08,0.08,0.16,0.11,-0.05,,,,46.05,45.99,-0.06,249915.0,249884.0,-31.0
Finolex Cables,FINCABLES,/company/FINCABLES/consolidated/,1468.10,22453.03,Jun 2026,Mar 2026,,35.86,35.86,0.0,9.62,9.65,0.03,16.44,16.71,0.27,,,,38.1,37.8,-0.3,182413.0,183583.0,1170.0
HMA Agro Inds.,HMAAGRO,/company/HMAAGRO/consolidated/,23.72,1187.83,Aug 2026,Jun 2026,,75.0,75.0,0.0,4.84,4.1,-0.74,3.46,3.57,0.11,,,,16.71,17.32,0.61,63045.0,64183.0,1138.0
Windlas Biotech,WINDLAS,/company/WINDLAS/,1102.30,2274.73,Jun 2026,Mar 2026,,61.9,63.31,1.41,0.6,2.04,1.44,11.8,9.84,-1.96,,,,25.69,24.8,-0.89,44769.0,44996.0,227.0
CCL Products,CCL,/company/CCL/consolidated/,1050.00,14020.43,Jun 2026,Mar 2026,,46.11,46.14,0.03,11.24,12.07,0.83,21.43,21.1,-0.33,,,,20.97,20.54,-0.43,62293.0,63904.0,1611.0
Hariom Pipe,HARIOMPIPE,/company/HARIOMPIPE/,361.85,1120.55,Jun 2026,Mar 2026,,57.27,57.27,0.0,9.5,10.25,0.75,0.06,0.07,0.01,,,,33.19,32.43,-0.76,53763.0,54386.0,623.0
GE Shipping Co,GESHIP,/company/GESHIP/consolidated/,1462.00,20872.56,Jun 2026,Mar 2026,,30.08,30.08,0.0,28.44,31.03,2.59,15.25,12.81,-2.44,,,,26.25,26.08,-0.17,156718.0,168304.0,11586.0
Diffusion Eng,DIFFNKG,/company/DIFFNKG/consolidated/,441.60,1652.74,Jun 2026,Mar 2026,,69.76,69.76,0.0,0.41,0.72,0.31,8.13,8.42,0.29,,,,20.9,20.31,-0.59,22256.0,21849.0,-407.0
A C J K Exports,AEROPLANE,/company/AEROPLANE/consolidated/,204.80,2120.74,Jun 2026,Mar 2026,,78.78,78.78,0.0,3.5,1.89,-1.61,2.63,5.44,2.81,3.89,0.91,-2.98,11.2,12.98,1.78,106988.0,43063.0,-63925.0
Sanghvi Movers,SANGHVIMOV,/company/SANGHVIMOV/consolidated/,438.80,3798.95,Jun 2026,Mar 2026,,47.25,47.25,0.0,1.48,1.81,0.33,1.3,1.4,0.1,,,,49.97,49.53,-0.44,60472.0,57904.0,-2568.0
Granules India,GRANULES,/company/GRANULES/consolidated/,864.05,23569.54,Jun 2026,Mar 2026,,38.02,38.01,-0.01,15.31,17.5,2.19,17.01,16.11,-0.9,,,,29.67,28.36,-1.31,160286.0,169422.0,9136.0
Cipla,CIPLA,/company/CIPLA/consolidated/,1384.10,111815.69,Jun 2026,Mar 2026,,29.22,29.22,0.0,22.55,20.2,-2.35,31.71,34.35,2.64,0.27,0.28,0.01,16.26,15.93,-0.33,584217.0,578679.0,-5538.0
Aptus Value Hou.,APTUS,/company/APTUS/consolidated/,242.08,12124.10,Jun 2026,Mar 2026,,23.86,23.86,0.0,30.34,29.96,-0.38,29.43,29.9,0.47,,,,16.35,16.27,-0.08,166229.0,166122.0,-107.0
Midwest,MIDWESTLTD,/company/MIDWESTLTD/consolidated/,1018.30,3682.26,Jun 2026,Mar 2026,,77.13,77.12,-0.01,4.37,3.88,-0.49,13.78,14.46,0.68,0.0,0.11,0.11,4.71,4.44,-0.27,21086.0,20204.0,-882.0
Indo Borax & Ch.,INDOBORAX,/company/INDOBORAX/consolidated/,463.55,1487.53,Jun 2026,Mar 2026,,30.8,38.41,7.61,0.45,0.13,-0.32,2.19,0.04,-2.15,,,,66.56,61.43,-5.13,20466.0,20592.0,126.0
Pennar Industrie,PENIND,/company/PENIND/consolidated/,174.14,2359.53,Jun 2026,Mar 2026,,39.67,39.67,0.0,4.05,3.98,-0.07,5.28,5.9,0.62,,,,51.01,50.44,-0.57,81021.0,79314.0,-1707.0
Epigral,EPIGRAL,/company/EPIGRAL/,1100.90,4749.43,Jun 2026,Mar 2026,,68.83,68.83,0.0,1.54,1.03,-0.51,4.9,5.56,0.66,0.02,0.02,0.0,24.71,24.56,-0.15,77583.0,76305.0,-1278.0
Vishal Mega Mart,VMM,/company/VMM/consolidated/,104.03,48736.06,Jun 2026,Mar 2026,,40.12,40.09,-0.03,22.01,20.43,-1.58,32.74,34.8,2.06,,,,5.13,4.68,-0.45,641309.0,625567.0,-15742.0
MTAR Technologie,MTARTECH,/company/MTARTECH/,7176.00,22073.08,Jun 2026,Mar 2026,,30.44,29.35,-1.09,17.31,24.8,7.49,27.66,22.35,-5.31,,,,24.59,23.51,-1.08,209273.0,258386.0,49113.0
Senores Pharma.,SENORES,/company/SENORES/consolidated/,1379.90,6354.93,Jun 2026,Mar 2026,,45.82,45.82,0.0,3.64,6.62,2.98,9.62,9.77,0.15,,,,40.92,37.78,-3.14,34126.0,36498.0,2372.0
Nupur Recyclers,NRL,/company/NRL/consolidated/,158.35,1093.71,Jun 2026,Mar 2026,,73.13,73.6,0.47,0.0,0.41,0.41,0.0,0.0,0.0,,,,26.87,25.99,-0.88,19604.0,19074.0,-530.0
Sona BLW Precis.,SONACOMS,/company/SONACOMS/,809.00,50491.99,Jun 2026,Mar 2026,,28.01,28.01,0.0,23.7,23.61,-0.09,41.46,41.6,0.14,0.0,0.01,0.01,6.82,6.77,-0.05,378653.0,364057.0,-14596.0
Adani Total Gas,ATGL,/company/ATGL/,626.25,68875.61,Jun 2026,Mar 2026,,74.8,74.8,0.0,12.75,12.77,0.02,6.26,6.34,0.08,,,,6.18,6.07,-0.11,636149.0,596758.0,-39391.0
JBM Auto,JBMA,/company/JBMA/consolidated/,593.15,14027.66,Jun 2026,Mar 2026,,67.53,67.53,0.0,1.97,2.03,0.06,0.1,0.16,0.06,,,,30.38,30.27,-0.11,183719.0,182870.0,-849.0
A B Lifestyle,ABLBL,/company/ABLBL/consolidated/,80.74,9854.49,Jun 2026,Mar 2026,,46.6,46.6,0.0,12.78,12.7,-0.08,20.24,20.8,0.56,,,,19.87,19.42,-0.45,266973.0,262354.0,-4619.0
Kapston Services,KAPSTON,/company/KAPSTON/,570.55,1736.31,Jun 2026,Mar 2026,,72.87,72.87,0.0,0.0,0.01,0.01,,,,,,,27.13,27.12,-0.01,5964.0,6564.0,600.0
Atul,ATUL,/company/ATUL/consolidated/,6176.50,18184.70,Jun 2026,Mar 2026,,45.22,45.33,0.11,7.5,7.44,-0.06,25.89,25.93,0.04,0.0,0.0,0.0,21.37,21.3,-0.07,56855.0,56570.0,-285.0
Pitti Engg.,PITTIENG,/company/PITTIENG/consolidated/,1121.90,4224.36,Jun 2026,Mar 2026,,54.17,54.17,0.0,1.12,1.54,0.42,20.23,20.1,-0.13,,,,22.52,22.2,-0.32,37405.0,37224.0,-181.0
Roto Pumps,ROTO,/company/ROTO/consolidated/,62.80,1183.44,Jun 2026,Mar 2026,,66.8,66.8,0.0,0.14,0.19,0.05,0.15,0.11,-0.04,,,,32.91,32.91,0.0,64755.0,69840.0,5085.0
Jupiter Life Lin,JLHL,/company/JLHL/consolidated/,274.80,9008.77,Jun 2026,Mar 2026,,40.91,40.91,0.0,8.48,9.37,0.89,17.01,16.51,-0.5,,,,33.6,33.2,-0.4,32985.0,33194.0,209.0
Five-Star Bus.Fi,FIVESTAR,/company/FIVESTAR/,524.85,15493.34,Jun 2026,Mar 2026,,18.61,18.61,0.0,48.48,43.97,-4.51,17.58,22.35,4.77,,,,15.34,15.07,-0.27,97128.0,102270.0,5142.0
Angel One,ANGELONE,/company/ANGELONE/consolidated/,295.10,26973.22,Jun 2026,Mar 2026,,28.8,28.59,-0.21,12.81,13.76,0.95,18.88,20.34,1.46,0.0,0.01,0.01,39.52,37.3,-2.22,359235.0,356468.0,-2767.0
Arvind Ltd,ARVIND,/company/ARVIND/consolidated/,533.55,14514.73,Aug 2026,Jun 2026,,39.53,38.09,-1.44,16.44,15.88,-0.56,19.88,22.78,2.9,,,,24.14,23.26,-0.88,181012.0,181024.0,12.0
Max Healthcare,MAXHEALTH,/company/MAXHEALTH/consolidated/,1056.50,102830.23,Jun 2026,Mar 2026,,23.71,23.71,0.0,45.39,41.78,-3.61,26.32,29.95,3.63,,,,4.58,4.55,-0.03,216996.0,224606.0,7610.0
Standard Engineering Technology,SETL,/company/SETL/consolidated/,402.55,8030.54,Jun 2026,Mar 2026,,60.47,60.47,0.0,2.43,2.78,0.35,0.35,0.2,-0.15,,,,36.76,36.56,-0.2,51209.0,47340.0,-3869.0
Kalyani Steels,KSL,/company/KSL/,959.15,4186.98,Jun 2026,Mar 2026,,64.7,64.7,0.0,1.82,1.77,-0.05,11.14,11.48,0.34,,,,22.33,22.06,-0.27,44840.0,43550.0,-1290.0
Tata Comm,TATACOMM,/company/TATACOMM/consolidated/,1692.40,48247.89,Jun 2026,Mar 2026,,58.86,58.86,0.0,14.44,13.75,-0.69,19.14,19.85,0.71,,,,7.56,7.53,-0.03,175946.0,172357.0,-3589.0
SRF,SRF,/company/SRF/consolidated/,2538.30,75241.51,Jun 2026,Mar 2026,,50.26,50.26,0.0,16.67,15.45,-1.22,21.17,22.44,1.27,0.04,0.04,0.0,11.87,11.81,-0.06,180341.0,177423.0,-2918.0
Balmer Lawrie,BALMLAWRIE,/company/BALMLAWRIE/consolidated/,167.43,2863.12,Jun 2026,Mar 2026,,,,,2.22,2.38,0.16,1.79,1.79,0.0,0.02,0.02,0.0,95.96,95.79,-0.17,109420.0,108631.0,-789.0
WPIL,WPIL,/company/WPIL/consolidated/,439.35,4291.17,Jun 2026,Mar 2026,,70.79,70.79,0.0,5.62,5.6,-0.02,2.59,2.77,0.18,,,,20.99,20.82,-0.17,25524.0,24898.0,-626.0
Larsen & Toubro,LT,/company/LT/consolidated/,3866.40,531976.04,Jun 2026,Mar 2026,,,,,18.78,19.13,0.35,43.32,43.01,-0.31,0.25,0.25,0.0,37.64,37.6,-0.04,1801254.0,1795249.0,-6005.0
Cochin Shipyard,COCHINSHIP,/company/COCHINSHIP/,1388.90,36539.29,Jun 2026,Mar 2026,,67.91,67.91,0.0,3.1,2.83,-0.27,6.05,6.96,0.91,,,,22.95,22.3,-0.65,986156.0,966293.0,-19863.0
Rishabh Instrum.,RISHABH,/company/RISHABH/consolidated/,736.55,2850.23,Jun 2026,Mar 2026,,69.55,69.4,-0.15,0.1,1.17,1.07,11.72,11.21,-0.51,0.0,0.0,0.0,18.63,18.21,-0.42,32231.0,30707.0,-1524.0
Apollo Micro Sys,APOLLO,/company/APOLLO/consolidated/,406.75,15114.81,Jun 2026,Mar 2026,,51.98,49.98,-2.0,3.63,7.59,3.96,1.82,1.71,-0.11,,,,42.58,40.72,-1.86,373806.0,398043.0,24237.0
