name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_target,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
Kolte Patil Dev.,KOLTEPATIL,/company/KOLTEPATIL/consolidated/,435.55,3862.46,Jun 2026,Mar 2026,,73.81,73.81,0.0,9.96,10.61,0.65,3.38,3.3,-0.08,,,,12.82,12.28,-0.54,41772.0,40601.0,-1171.0
Greenpanel Inds.,GREENPANEL,/company/GREENPANEL/,170.18,2086.87,Jun 2026,Mar 2026,,53.13,53.26,0.13,1.07,0.94,-0.13,28.4,28.49,0.09,0.0,0.0,0.0,17.4,17.29,-0.11,88249.0,86784.0,-1465.0
Kiri Industries,KIRIINDUS,/company/KIRIINDUS/consolidated/,540.50,3522.33,Jun 2026,Mar 2026,,36.72,41.71,4.99,18.32,16.75,-1.57,1.28,1.29,0.01,,,,43.68,40.25,-3.43,39697.0,40252.0,555.0
Vodafone Idea,IDEA,/company/IDEA/consolidated/,14.27,154605.51,Jun 2026,Mar 2026,,25.64,25.64,0.0,5.56,6.17,0.61,6.19,6.05,-0.14,49.02,49.02,0.0,13.57,13.11,-0.46,5939398.0,5809457.0,-129941.0
Bharat Parenter.,BPLPHARMA,/company/BPLPHARMA/consolidated/,1531.70,1055.64,Jun 2026,Mar 2026,,67.17,67.2,0.03,0.11,0.11,0.0,1.07,1.38,0.31,,,,31.65,31.31,-0.34,3095.0,3059.0,-36.0
Panacea Biotec,PANACEABIO,/company/PANACEABIO/consolidated/,382.65,2343.76,Jun 2026,Mar 2026,,72.48,72.48,0.0,1.6,2.31,0.71,1.96,2.25,0.29,,,,23.96,22.96,-1.0,32620.0,33532.0,912.0
Midwest Energy,526570,/company/526570/consolidated/,3564.45,4623.87,Jun 2026,Mar 2026,,58.78,58.45,-0.33,12.02,12.63,0.61,1.58,1.57,-0.01,,,,27.61,27.35,-0.26,8868.0,8825.0,-43.0
Ideaforge Tech,IDEAFORGE,/company/IDEAFORGE/consolidated/,741.40,3685.39,Jul 2026,Jun 2026,,28.96,25.26,-3.7,4.89,8.27,3.38,2.69,10.98,8.29,,,,63.46,55.49,-7.97,165675.0,164872.0,-803.0
Sundaram Clayton,SUNCLAY,/company/SUNCLAY/consolidated/,1252.50,2761.28,Jun 2026,Mar 2026,,59.08,59.08,0.0,0.42,0.88,0.46,21.08,20.71,-0.37,,,,19.41,19.3,-0.11,22755.0,22732.0,-23.0
63 Moons Tech.,63MOONS,/company/63MOONS/consolidated/,841.75,3878.66,Jun 2026,Mar 2026,,45.63,45.63,0.0,1.31,1.61,0.3,0.0,0.0,0.0,,,,53.06,52.75,-0.31,45869.0,44996.0,-873.0
A B Real Estate,ABREL,/company/ABREL/consolidated/,1201.10,13415.77,Jun 2026,Mar 2026,,50.21,50.21,0.0,9.04,9.26,0.22,16.4,16.63,0.23,0.01,0.0,-0.01,23.34,23.14,-0.2,96982.0,95594.0,-1388.0
Urban Company,URBANCO,/company/URBANCO/consolidated/,174.21,26866.33,Jun 2026,Mar 2026,,19.02,19.02,0.0,55.77,55.28,-0.49,10.74,11.42,0.68,,,,9.27,9.74,0.47,205238.0,200993.0,-4245.0
Zota Health Care,ZOTA,/company/ZOTA/consolidated/,1356.00,4696.18,Jun 2026,Mar 2026,,49.38,49.38,0.0,8.21,7.92,-0.29,6.4,6.75,0.35,,,,36.0,35.96,-0.04,14005.0,14678.0,673.0
Tejas Networks,TEJASNET,/company/TEJASNET/consolidated/,516.30,9195.18,Jun 2026,Mar 2026,,53.4,53.33,-0.07,5.29,5.82,0.53,4.32,4.04,-0.28,0.0,0.0,0.0,36.86,36.68,-0.18,380284.0,344573.0,-35711.0
Quadrant Future,QUADFUTURE,/company/QUADFUTURE/,522.40,2089.60,Jun 2026,Mar 2026,,70.0,70.0,0.0,0.02,1.85,1.83,1.7,2.08,0.38,,,,28.28,26.08,-2.2,41716.0,35257.0,-6459.0
Dec.Gold Mines,DECNGOLD,/company/DECNGOLD/consolidated/,225.17,4474.17,Jun 2026,Mar 2026,,20.62,20.53,-0.09,1.84,2.14,0.3,0.23,0.53,0.3,,,,77.31,76.8,-0.51,52123.0,61047.0,8924.0
Innovassynth Technologies,533315,/company/533315/,145.45,1350.66,Jun 2026,Mar 2026,,73.7,75.04,1.34,1.39,1.13,-0.26,1.46,1.12,-0.34,,,,23.46,22.71,-0.75,26898.0,27084.0,186.0
Onida Electronics,ONIDA,/company/ONIDA/,34.73,1283.37,Jun 2026,Mar 2026,,40.51,40.51,0.0,0.06,0.03,-0.03,0.0,0.08,0.08,,,,59.43,59.37,-0.06,72154.0,73126.0,972.0
Ola Electric,OLAELEC,/company/OLAELEC/consolidated/,37.78,17486.13,Jun 2026,Mar 2026,,34.59,32.96,-1.63,4.0,4.11,0.11,7.01,12.16,5.15,,,,49.64,46.26,-3.38,1953658.0,1944870.0,-8788.0
Swiggy,SWIGGY,/company/SWIGGY/consolidated/,284.05,78406.71,Jun 2026,Mar 2026,,,,,14.59,13.96,-0.63,25.45,27.38,1.93,,,,54.39,53.57,-0.82,536096.0,570439.0,34343.0
Meesho,MEESHO,/company/MEESHO/consolidated/,240.19,111117.19,Jun 2026,Mar 2026,,16.57,16.41,-0.16,4.17,5.19,1.02,5.56,9.14,3.58,,,,73.7,69.26,-4.44,189154.0,246157.0,57003.0
GTL Infra.,GTLINFRA,/company/GTLINFRA/,1.12,1434.65,Jun 2026,Mar 2026,,3.28,3.28,0.0,0.06,0.77,0.71,31.28,31.2,-0.08,,,,65.37,64.77,-0.6,2710397.0,2675623.0,-34774.0
IDream Film,504375,/company/504375/consolidated/,517.75,14007.90,Jun 2026,Mar 2026,,60.0,73.72,13.72,,,,,,,,,,40.01,26.28,-13.73,230.0,253.0,23.0
John Cockerill,COCKERILL,/company/COCKERILL/consolidated/,8178.00,4038.14,Jun 2026,Mar 2026,,70.44,70.44,0.0,0.02,0.32,0.3,0.0,0.11,0.11,,,,29.53,29.12,-0.41,13233.0,14140.0,907.0
